,row_ids,cat_describe,cat_age,cat_sex,cat_neutered,cat_feed,cat_feed_freq,cat_time_out,cat_stay,cat_hunt,cat_hunt,cat_hunt_freq,cat_time
119,samyamee_49,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Female,Not neutered,,Thrice a day,Completely indoors,At home,Yes,,,>4 hours
120,samyamee_51,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,Female,Neutered,,Continuous supply of food is available,Completely indoors,Either at home or outside,Yes,,Once every few months,>4 hours
121,samyamee_52,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
122,samyamee_73,Completely indoor cat (always stays at home and does not go out on its own),Adult (3-6 years),Female,Neutered,,Twice a day,1-3 hours,At home,Yes,,Once every few months,10-20 minutes
123,samyamee_81,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Male,Not neutered,,Twice a day,Completely indoors,At home,Yes,,,10-20 minutes
124,samyamee_83,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
125,samyamee_88,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
126,samyamee_89,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Male,Not neutered,,Thrice a day,1-3 hours,At home,Yes,,Once in 15 days,20-40 minutes
127,samyamee_102,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Female,Neutered,,Continuous supply of food is available,5-7 hours,At home,Yes,,Once every few months,1-2 hours
128,samyamee_104,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),,Not neutered,,Thrice a day,3-5 hours,At home,Yes,,,
129,samyamee_106,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
130,samyamee_107,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
131,samyamee_111,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Male,Not neutered,,Thrice a day,5-7 hours,At home,Yes,,Once a week,2-4 hours
132,samyamee_113,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
133,samyamee_116,Completely indoor cat (always stays at home and does not go out on its own),Junior (7 months - 2 years),Female,Neutered,,Thrice a day,1-3 hours,At home,Yes,,Once every few months,20-40 minutes
134,samyamee_120,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
135,hindi_5,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
136,hindi_14,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Female,Neutered,"Cat food like Whiskas, drools, pure pet etc. ",Twice a day,3-5 hours,At home,No,,,>4 hours
137,hindi_20,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
138,hindi_25,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
139,hindi_30,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Female,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Thrice a day,>10 hours,At home,Yes,,,>4 hours
140,hindi_31,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
141,hindi_33,Completely indoor cat (always stays at home and does not go out on its own),Kitten (0-6 months),Male,,"Cat food like Whiskas, drools, pure pet etc. ",Twice a day,1-3 hours,At home,No,,,20-40 minutes
142,aditi_6,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
143,aditi_15,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
144,aditi_38,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
145,aditi_42,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
146,aditi_47,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
147,aditi_59,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Female,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Once a day,>10 hours,Outside,No,,,10-20 minutes
148,aditi_67,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
149,aditi_68,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
150,aditi_72,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
151,aditi_73,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Female,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Twice a day,Completely indoors,At home,Yes,,,>4 hours
152,aditi_75,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
153,aditi_76,Completely indoor cat (always stays at home and does not go out on its own),Mature (7-10 years),Female,,"Cat food like Whiskas, drools, pure pet etc. ",Thrice a day,Completely indoors,At home,No,,,20-40 minutes
154,aditi_83,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
155,aditi_92,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
156,aditi_95,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
157,aditi_104,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
158,aditi_111,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Continuous supply of food is available,1-3 hours,At home,Yes,Birds,Once every few months,>4 hours
159,aditi_112,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
160,aditi_116,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Male,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Continuous supply of food is available,>10 hours,Outside,Yes,"Rodents (rats, mice)",Once every few months,None at all
161,aditi_118,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
162,aditi_125,Completely indoor cat (always stays at home and does not go out on its own),Junior (7 months - 2 years),Male,Not neutered,"Cat food like Whiskas, drools, pure pet etc. ",Twice a day,Completely indoors,At home,No,,,>4 hours
163,aditi_129,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
164,aditi_133,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
165,aditi_135,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Male,Not neutered,"Meat (chicken, fish, etc.)",Thrice a day,1-3 hours,At home,Yes,"Rodents (rats, mice)",Once in 15 days,>4 hours
166,aditi_137,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
167,aditi_138,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
168,aditi_139,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
169,aditi_151,Completely indoor cat (always stays at home and does not go out on its own),Kitten (0-6 months),,,,,,,Yes,,,
170,aditi_166,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
171,aditi_174,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
172,samyamee_1,,,,,,,,,,,,
173,samyamee_3,,,,,,,,,,,,
174,samyamee_4,,,,,,,,,,,,
175,samyamee_7,,,,,,,,,,,,
176,samyamee_8,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
177,samyamee_11,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
178,samyamee_13,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
179,samyamee_14,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Male,Neutered,,Twice a day,7- 10 hours,Outside,Yes,,Once every few months,1-2 hours
180,samyamee_18,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Male,Not neutered,,Thrice a day,3-5 hours,Outside,Yes,,,10-20 minutes
181,samyamee_19,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
182,samyamee_21,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
183,samyamee_24,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
184,samyamee_27,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
185,samyamee_34,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
186,samyamee_38,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
187,samyamee_41,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Female,Not neutered,,Once a day,1-3 hours,At home,Yes,,Once in 15 days,10-20 minutes
188,samyamee_43,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
189,samyamee_48,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
190,samyamee_49,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Male,Not neutered,,Thrice a day,Completely indoors,At home,Yes,,,>4 hours
191,samyamee_51,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),,,,,,,Yes,,,
192,samyamee_52,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
193,samyamee_73,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
194,samyamee_81,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Male,Not neutered,,Twice a day,Completely indoors,At home,Yes,,,10-20 minutes
195,samyamee_83,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
196,samyamee_88,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
197,samyamee_89,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Female,Not neutered,,Thrice a day,5-7 hours,At home,Yes,,Once in 15 days,20-40 minutes
198,samyamee_102,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Female,Neutered,,Continuous supply of food is available,7- 10 hours,Either at home or outside,Yes,,Once every few months,40 minutes-1 hour
199,samyamee_104,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),,Not neutered,,Thrice a day,,At home,Yes,,,
200,samyamee_106,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
201,samyamee_107,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
202,samyamee_111,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Male,Not neutered,,Thrice a day,5-7 hours,At home,Yes,,Every day,2-4 hours
203,samyamee_113,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
204,samyamee_116,Completely indoor cat (always stays at home and does not go out on its own),Junior (7 months - 2 years),Female,Neutered,,Thrice a day,1-3 hours,Outside,Yes,,Once every few months,20-40 minutes
205,samyamee_120,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
206,hindi_5,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
207,hindi_14,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Female,Neutered,"Cat food like Whiskas, drools, pure pet etc. ",Twice a day,5-7 hours,At home,No,,,>4 hours
208,hindi_20,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
209,hindi_25,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
210,hindi_30,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Female,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Thrice a day,>10 hours,At home,Yes,,,>4 hours
211,hindi_31,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
212,hindi_33,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
213,aditi_6,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
214,aditi_15,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
215,aditi_38,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
216,aditi_42,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
217,aditi_47,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
218,aditi_59,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
219,aditi_67,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
220,aditi_68,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
221,aditi_72,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
222,aditi_73,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Female,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Twice a day,3-5 hours,At home,Yes,"Rodents (rats, mice)",Once a month,2-4 hours
223,aditi_75,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
224,aditi_76,Completely indoor cat (always stays at home and does not go out on its own),Adult (3-6 years),Female,,"Cat food like Whiskas, drools, pure pet etc. ",Thrice a day,Completely indoors,At home,No,,,20-40 minutes
225,aditi_83,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
226,aditi_92,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
227,aditi_95,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
228,aditi_104,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
229,aditi_111,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Continuous supply of food is available,1-3 hours,At home,Yes,Birds,Once every few months,>4 hours
230,aditi_112,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
231,aditi_116,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
232,aditi_118,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
233,aditi_125,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
234,aditi_129,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
235,aditi_133,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
236,aditi_135,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Female,Not neutered,"Meat (chicken, fish, etc.)",Thrice a day,1-3 hours,At home,Yes,"Rodents (rats, mice)",Once in 15 days,>4 hours
237,aditi_137,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
238,aditi_138,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
239,aditi_139,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
240,aditi_151,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
241,aditi_166,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
242,aditi_174,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
243,samyamee_1,,,,,,,,,,,,
244,samyamee_3,,,,,,,,,,,,
245,samyamee_4,,,,,,,,,,,,
246,samyamee_7,,,,,,,,,,,,
247,samyamee_8,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
248,samyamee_11,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
249,samyamee_13,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
250,samyamee_14,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
251,samyamee_18,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Female,Not neutered,,Thrice a day,3-5 hours,Outside,Yes,,Once in 15 days,10-20 minutes
252,samyamee_19,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
253,samyamee_21,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
254,samyamee_24,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
255,samyamee_27,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
256,samyamee_34,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
257,samyamee_38,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
258,samyamee_41,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
259,samyamee_43,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
260,samyamee_48,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
261,samyamee_49,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
262,samyamee_51,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
263,samyamee_52,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
264,samyamee_73,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
265,samyamee_81,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Female,Not neutered,,Twice a day,Completely indoors,At home,Yes,,,10-20 minutes
266,samyamee_83,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
267,samyamee_88,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
268,samyamee_89,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Female,Not neutered,,Thrice a day,5-7 hours,At home,Yes,,Once in 15 days,20-40 minutes
269,samyamee_102,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
270,samyamee_104,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),,Not neutered,,Thrice a day,,At home,Yes,,,
271,samyamee_106,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
272,samyamee_107,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
273,samyamee_111,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Female,Not neutered,,,5-7 hours,At home,Yes,,Every day,2-4 hours
274,samyamee_113,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
275,samyamee_116,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,10-20 minutes
276,samyamee_120,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
277,hindi_5,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
278,hindi_14,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Neutered,"Cat food like Whiskas, drools, pure pet etc. ",Twice a day,5-7 hours,At home,No,,,>4 hours
279,hindi_20,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
280,hindi_25,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
281,hindi_30,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Female,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Thrice a day,>10 hours,At home,Yes,,,>4 hours
282,hindi_31,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
283,hindi_33,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
284,aditi_6,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
285,aditi_15,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),,,,,,,Yes,,,
286,aditi_38,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
287,aditi_42,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
288,aditi_47,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
289,aditi_59,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
290,aditi_67,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
291,aditi_68,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
292,aditi_72,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
293,aditi_73,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
294,aditi_75,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
295,aditi_76,Completely indoor cat (always stays at home and does not go out on its own),Junior (7 months - 2 years),Female,,"Cat food like Whiskas, drools, pure pet etc. ",Thrice a day,Completely indoors,At home,No,,,20-40 minutes
296,aditi_83,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
297,aditi_92,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
298,aditi_95,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
299,aditi_104,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
300,aditi_111,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Continuous supply of food is available,1-3 hours,At home,Yes,Birds,Once every few months,>4 hours
301,aditi_112,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
302,aditi_116,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
303,aditi_118,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
304,aditi_125,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
305,aditi_129,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
306,aditi_133,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
307,aditi_135,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Female,Not neutered,"Meat (chicken, fish, etc.)",Thrice a day,1-3 hours,At home,Yes,"Rodents (rats, mice)",Once in 15 days,>4 hours
308,aditi_137,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
309,aditi_138,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
310,aditi_139,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
311,aditi_151,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
312,aditi_166,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
313,aditi_174,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
314,samyamee_1,,,,,,,,,,,,
315,samyamee_3,,,,,,,,,,,,
316,samyamee_4,,,,,,,,,,,,
317,samyamee_7,,,,,,,,,,,,
318,samyamee_8,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
319,samyamee_11,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
320,samyamee_13,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
321,samyamee_14,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
322,samyamee_18,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
